,Taylor(with new sparse)
0,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
1,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
2,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
3,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
4,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
5,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
6,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
7,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
8,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
9,0.038948001502598945*x0 - 0.2923703974924676*x1 - 0.03320133096620245*x10 - 0.03371014332744054*x11 - 0.02260687344823003*x12 - 0.03978305637253278*x13 + 0.0848895507910597*x14 - 0.05526081450289187*x15 + 0.020588041758606308*x16 + 0.056082206372491235*x17 + 0.07212576031938336*x18 + 0.003230464421853264*x19 - 0.0006028055947974913*x2 + 0.08938462710309317*x20 - 0.03608252953139483*x21 + 0.019265441517127193*x22 + 0.03127583787367389*x23 + 0.005265538366077401*x24 + 0.4057565322223467*x3 + 0.20563734813602474*x4 + 0.05175593724515772*x5 + 0.02398712064837679*x6 + 0.027654337720226786*x7 + 0.022896449283943757*x8 - 0.006748994649651433*x9 - 0.03402577642271793
